                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.643,                 3.5168,                 2.1408,                0.72716,                0.16893,                0.18837,                0.12417,                 1.4753,                 14.689,                 2.6557,             0.00010003,             0.00010003,             0.00010003
                      2,                 1.1922,                 2.3665,                 1.8126,                0.62782,                0.61515,                0.66131,                0.32234,                 1.7347,                 5.9213,                 2.7817,             0.00019667,             0.00019667,             0.00019667
                      3,                 1.4642,                 3.1034,                 2.1454,                0.37516,                0.45722,                0.41155,                0.26333,                 1.3587,                 4.6277,                  3.166,             0.00027444,             0.00027444,             0.00027444
                      4,                 1.1801,                 2.0717,                 1.8643,                0.65068,                0.67583,                0.61857,                0.34566,                 1.4367,                 2.7324,                 2.9309,             0.00033335,             0.00033335,             0.00033335
                      5,                0.93953,                 1.6401,                 1.6886,                0.54651,                0.44097,                0.47967,                0.23991,                 1.6235,                 5.8971,                 4.0081,              0.0003734,              0.0003734,              0.0003734
                      6,                 1.0623,                 1.7269,                 1.8746,                0.33779,                0.59722,                0.51966,                0.29762,                 1.5702,                 2.6637,                 3.0962,             0.00039458,             0.00039458,             0.00039458
                      7,                 1.0029,                 1.4154,                 1.8731,                0.49501,                0.64956,                0.54432,                0.32328,                 1.8014,                 2.0886,                 3.8737,              0.0003969,              0.0003969,              0.0003969
                      8,                 0.9415,                 1.3369,                 1.7514,                0.53495,                0.65278,                0.57786,                0.38018,                 1.6497,                  2.676,                 4.2875,             0.00038036,             0.00038036,             0.00038036
                      9,                0.73113,                0.89535,                 1.4818,                0.59248,                0.90558,                0.70915,                0.45787,                  1.259,                 1.6405,                 2.8805,             0.00034496,             0.00034496,             0.00034496
                     10,                 0.9562,                 1.1508,                 1.6479,                0.67273,                0.85345,                0.84619,                0.46483,                 1.3079,                 1.7111,                 2.8449,             0.00029069,             0.00029069,             0.00029069
                     11,                0.71253,                0.81581,                 1.4745,                  0.764,                0.93497,                0.90159,                0.56271,                 1.1964,                 1.5268,                 2.4736,             0.00021757,             0.00021757,             0.00021757
                     12,                0.78918,                 1.1041,                 1.6095,                0.92497,                0.88889,                0.92549,                0.60132,                 1.1403,                 1.2619,                 2.2997,             0.00012557,             0.00012557,             0.00012557
